Longitud;Latitud
 2,18767099; 4,14143333e+01
 2,18389813; 4,14182544e+01
 2,18258301; 4,14182567e+01
 2,18206256; 4,14151227e+01
 2,18170461; 4,14166711e+01
 2,18213213; 4,14164059e+01
 2,18244639; 4,14166416e+01
 2,17693185; 4,14140202e+01
 2,17742589; 4,14143916e+01
 2,17978959; 4,14115821e+01
 2,18028735; 4,14118379e+01
 2,18064042; 4,14124202e+01
 2,18420561; 4,14095658e+01
 2,18569567; 4,14090590e+01
 2,18250774; 4,14099639e+01
 2,18396308; 4,14110769e+01
 2,18757257; 4,14103437e+01
 2,19027295; 4,14140874e+01
 2,18838047; 4,14157619e+01
 2,19281521; 4,14136354e+01
 2,18837814; 4,14166502e+01
 2,19391851; 4,14147312e+01
 2,19425846; 4,14156604e+01
 2,18766395; 4,14126409e+01
 2,19385142; 4,14130927e+01
 2,19626111; 4,14141794e+01
 2,19293083; 4,14145611e+01
 2,18886524; 4,14144507e+01
 2,19853493; 4,14141290e+01
 2,19723942; 4,14190179e+01
 2,19754594; 4,14149102e+01
 2,19744217; 4,14153601e+01
 2,19590611; 4,14167488e+01
 2,19500943; 4,14173754e+01
 2,19500019; 4,14167572e+01
 2,18666645; 4,14093869e+01
 2,19470091; 4,14158478e+01
 2,19415886; 4,14167285e+01
 2,18848653; 4,14077787e+01
 2,18590031; 4,14071098e+01
 2,19884337; 4,14189513e+01
 2,18645515; 4,14078813e+01
 2,18645515; 4,14078813e+01
 2,18477332; 4,14078250e+01
 2,18850303; 4,14063179e+01
 2,18850303; 4,14063179e+01
 2,18562579; 4,14085322e+01
 2,18918656; 4,14064702e+01
 2,18918656; 4,14064702e+01
 2,20283279; 4,14293259e+01
 2,20051129; 4,14235223e+01
 2,19933402; 4,14249499e+01
 2,20341761; 4,14176105e+01
 2,20344940; 4,14246253e+01
 2,20038921; 4,14265578e+01
 2,20255886; 4,14244431e+01
 2,21790377; 4,14157347e+01
 2,22247632; 4,14115039e+01
 2,20768649; 4,14250448e+01
 2,22280171; 4,14128837e+01
 2,20892172; 4,14224862e+01
 2,21820261; 4,14159596e+01
 2,21111128; 4,14223706e+01
 2,21606796; 4,14208810e+01
 2,20453133; 4,14113601e+01
 2,20385293; 4,14111046e+01
 2,20579346; 4,14137616e+01
 2,20832242; 4,14133707e+01
 2,21588832; 4,14128537e+01
 2,20690828; 4,14192298e+01
 2,20648808; 4,14183695e+01
 2,20135553; 4,14117951e+01
 2,19973695; 4,14118694e+01
 2,19723228; 4,14100056e+01
 2,19343712; 4,14089968e+01
 2,19613323; 4,14107124e+01
 2,20782201; 4,14166617e+01
 2,20060691; 4,14130808e+01
 2,20943008; 4,14211144e+01
 2,19500010; 4,14103202e+01
 2,20315991; 4,14159030e+01
 2,20822760; 4,14187939e+01
 2,19860989; 4,13990335e+01
 2,20248304; 4,13992590e+01
 2,19832451; 4,14027567e+01
 2,19937602; 4,13997709e+01
 2,20359294; 4,13987783e+01
 2,20695786; 4,13967264e+01
 2,20521021; 4,13954662e+01
 2,20435006; 4,13948257e+01
 2,20366722; 4,14051976e+01
 2,21422281; 4,14114597e+01
 2,21246323; 4,14099454e+01
 2,20520507; 4,14094366e+01
 2,21234556; 4,14114855e+01
 2,21008214; 4,14109427e+01
 2,21091798; 4,14051010e+01
 2,20743400; 4,14040281e+01
 2,20423979; 4,14068859e+01
 2,19496381; 4,14002233e+01
 2,21117927; 4,14046264e+01
 2,21538932; 4,14044154e+01
 2,21591214; 4,14112114e+01
 2,19337659; 4,14023983e+01
 2,22148660; 4,14104500e+01
 2,21924281; 4,14077943e+01
 2,21754394; 4,14065028e+01
 2,21329846; 4,14032629e+01
 2,21569144; 4,14053181e+01
 2,21569144; 4,14053181e+01
 2,21569144; 4,14053181e+01
 2,21483827; 4,14046747e+01
 2,19417487; 4,14069332e+01
 2,19257130; 4,14002955e+01
 2,19198282; 4,13952077e+01
 2,19155588; 4,13955371e+01
 2,19394763; 4,14045257e+01
 2,19012516; 4,13985866e+01
 2,18864008; 4,13957049e+01
 2,19411759; 4,13991263e+01
 2,18644562; 4,13925021e+01
 2,18834000; 4,14020175e+01
 2,18834000; 4,14020175e+01
 2,18827175; 4,13944658e+01
 2,18847023; 4,13982329e+01
 2,19318273; 4,13918601e+01
 2,19866516; 4,13958387e+01
 2,19866516; 4,13958387e+01
 2,19755311; 4,13894436e+01
 2,17566876; 4,13793820e+01
 2,19601367; 4,13915265e+01
 2,19601367; 4,13915265e+01
 2,20085122; 4,13921872e+01
 2,17755738; 4,13785812e+01
 2,20447596; 4,13943006e+01
 2,20342080; 4,13942424e+01
 2,19995658; 4,13917613e+01
 2,20036765; 4,13895393e+01
 2,16759649; 4,13781831e+01
 2,17741273; 4,13766122e+01
 2,17118550; 4,13795077e+01
 2,16887104; 4,13815756e+01
 2,17362430; 4,13793489e+01
 2,16441242; 4,13807546e+01
 2,17201531; 4,13823957e+01
 2,16458005; 4,13806826e+01
 2,17121554; 4,13770196e+01
 2,17793704; 4,13771404e+01
 2,16630513; 4,13823344e+01
 2,17352807; 4,13836714e+01
 2,16608504; 4,13830484e+01
 2,17818405; 4,13869191e+01
 2,16504427; 4,13853981e+01
 2,16575418; 4,13874878e+01
 2,17182531; 4,13859930e+01
 2,17348093; 4,13842963e+01
 2,18258325; 4,13828678e+01
 2,18158313; 4,13843505e+01
 2,18185155; 4,13826870e+01
